Movie,Kinopoisk ,Level,Subtitles
Forrest Gump,Rus sub,"A2/A2+, B1",Yes
"Finding Nemo
",Everything,A2/A2+,Yes
"Cast away
","Paid, Rus sub",A2/A2+,Yes
"The invisible man (2020)
","Paid, Rus lan",A2/A2+,Yes
"Back to the future
",Rus sub,A2/A2+,Yes
"Twilight
","No subs, Paid",A2/A2+,Yes
Toy story,Everything,A2/A2+,Yes
"The cabin in the woods
","No subs, Paid",A2/A2+,Yes
Up,Everything,A2/A2+,Yes
"Dredd
",Rus lan,A2/A2+,Yes
"Ready or not
",Rus sub,A2/A2+,Yes
"The jungle book
",Everything,A2/A2+,Yes
"The terminal
",Rus sub,"A2/A2+, B1",Yes
The man called Flinstone,Nope,A2/A2+,Yes
Batman begins,Everything,A2/A2+,Yes
Kubo and the two strings,Nope,A2/A2+,Yes
Soul,Everything,B1,Yes
The break-up,Rus sub,A2/A2+,Yes
The holiday,No subs,B1,Yes
Sleepless in Seattle ,Rus lan,A2/A2+,Yes
My big fat Greek wedding,Nope,A2/A2+,Yes
Groundhog day,Everything,B1,Yes
The lion king,Everything,A2/A2+,Yes
Home alone,Everything,B1,Yes
Catch me if you can,Rus sub,"B1, B2",Yes
Mamma Mia,"Paid, Rus lan",B1,Yes
Harry Potter (1),Rus sub,B1,Yes
Matilda ,Rus lan,B1,Yes
Her,Rus lan,"A2/A2+, B1",Yes
Shrek,Rus sub,B1,Yes
Pirates of the Caribbean (1) ,Everything,B1,Yes
The terminator,Nope,B1,Yes
Love actually ,Rus sub,B1,Yes
The lord of the rings,Nope,"B1, B2",Yes
The theory of everything,Rus sub,B2,Yes
We’re the Millers,Nope,B1,Yes
Meet the parents,Rus sub,B1,Yes
Pulp Fiction,,B2,Yes
The graduate,Nope,"B1, B2",Yes
A star is born,Nope,B2,Yes
The social network,Paid,B2,Yes
The hangover,,B2,Yes
Knives out,Rus lan,B2,Yes
Bridget Jones diary,Rus lan,"B1, B2",Yes
Die Hard,Rus sub,B1,Yes
The secret life of Walter Mitty,Everything,B1,Yes
Mrs. Doubtfire,Everything,B1,Yes
10 things I hate about you,No subs,B1,Yes
Inside out,Everything,B1,Yes
The king’s speech,,B2,Yes
Warm bodies,"Everything, Paid",B1,Yes
Beauty and the beast (film),,B2,Yes
Before I go to sleep,,B2,Yes
Deadpool,Everything,B2,Yes
Titanic,Everything,B2,Yes
Dune,Everything,B2,Yes
Venom,Everything,B2,Yes
Before sunset,Nope,"B1, B2",Yes
Lie to me (series),,"B1, B2",No
The blind side ,Nope,B1,Yes
Before sunrise,Nope,"B1, B2",Yes
Clueless,Nope,B1,Yes
The usual suspects,Paid,B2,Yes
Aladdin,Everything,A2/A2+,Yes
Powder,"No subs, Paid",B1,Yes
Fight club,Paid,B2,Yes
Good Will Hunting,Paid,B2,Yes
All dogs go to heaven,Nope,A2/A2+,Yes
An  American tail,Nope,A2/A2+,Yes
Notting Hill,Rus lan,B1,Yes
Pleasantville,Nope,B1,Yes
"Liar, liar",Rus lan,B1,Yes
Hook,Nope,A2/A2+,Yes
Babe,Nope,A2/A2+,Yes
A knight’s tale,Everything,B2,Yes
The Shawshank Redemption,,"B1, B2",Yes
Logan,,B1,Yes
Braveheart,,B2,Yes
Moulin Rouge,,"A2/A2+, B1",No
The Greatest Showman,,A2/A2+,Yes
It’s a wonderful life,,A2/A2+,Yes
Eurovision Song Contest: The Story of Fire Saga,,A2/A2+,Yes
Mary Poppins Returns,,B1,Yes
The Walking Dead,,A2/A2+,No
The fault in our stars,,"A2/A2+, B1",Yes
10 Cloverfield Lane,,B1,Yes
Lion,,"B1, B2",Yes
House of Gucci,,B2,Yes
Kubo and the Two Strings,,B1,
Charlie and the Chocolate Factory,,B1,
Cinderella,,B1,
Ferdinand,,B1,
Inside Out,,B1,
Milada,,B1,
Sleepless in Seattle ,,B1,
The Terminal,,B1,
While You Were Sleeping,,B1,
The Fundamentals of Caring,,B1,
Cars,,B2,
Despicable Me,,B2,
Enola Holmes,,B2,
Entrapment,,B2,
Made of Honor,,B2,
Ratatouille,,B2,
The Blind Side,,B2,
The Devil Wears Prada,,B2,
The Intern,,B2,
The Secret Life of Pets,,B2,
The Legend of Tarzan,,C1,
Zootopia,,C1,
Banking on Bitcoin,,C1,
Klaus,,C1,
Ocean’s Eleven,,C1,
Ocean’s Twelve,,C1,
Bridget Jones’s Baby,,C1,
Mona Lisa Smile,,C1,
